,gene_name,display_name,biotype,cat_biotype
3331,Trim52,Trim52,Transcription_regulator,Transcription Regulator
3332,Trim62,Trim62,Transcription_regulator,Transcription Regulator
3333,Trip4,Trip4,Transcription_regulator,Transcription Regulator
3334,Trp53bp1,Trp53bp1,Transcription_regulator,Transcription Regulator
3336,Tsg101,Tsg101,Transcription_regulator,Transcription Regulator
3339,Ube2l3,Ube2l3,Transcription_regulator,Transcription Regulator
3340,Ube3a,Ube3a,Transcription_regulator,Transcription Regulator
3342,Usf3,Usf3,Transcription_regulator,Transcription Regulator
3346,Utf1,Utf1,Transcription_regulator,Transcription Regulator
3348,Vgll2,Vgll2,Transcription_regulator,Transcription Regulator
3349,Vhl,Vhl,Transcription_regulator,Transcription Regulator
3352,Wdr43,Wdr43,Transcription_regulator,Transcription Regulator
3353,Wdr77,Wdr77,Transcription_regulator,Transcription Regulator
3354,Wnt3a,Wnt3a,Transcription_regulator,Transcription Regulator
3355,Wnt4,Wnt4,Transcription_regulator,Transcription Regulator
3356,Wtip,Wtip,Transcription_regulator,Transcription Regulator
3357,Wwc1,Wwc1,Transcription_regulator,Transcription Regulator
3358,Wwox,Wwox,Transcription_regulator,Transcription Regulator
3359,Wwtr1,Wwtr1,Transcription_regulator,Transcription Regulator
3360,Xpc,Xpc,Transcription_regulator,Transcription Regulator
3361,Yaf2,Yaf2,Transcription_regulator,Transcription Regulator
3363,Zbed4,Zbed4,Transcription_regulator,Transcription Regulator
3364,Zbed6,Zbed6,Transcription_regulator,Transcription Regulator
3365,Zbtb8a,Zbtb8a,Transcription_regulator,Transcription Regulator
3366,Zbtb10,Zbtb10,Transcription_regulator,Transcription Regulator
3367,Zbtb46,Zbtb46,Transcription_regulator,Transcription Regulator
3368,Zcchc12,Zcchc12,Transcription_regulator,Transcription Regulator
3369,Zfp1,Zfp1,Transcription_regulator,Transcription Regulator
3370,Zfp26,Zfp26,Transcription_regulator,Transcription Regulator
3371,Zfp30,Zfp30,Transcription_regulator,Transcription Regulator
3373,Zfp59,Zfp59,Transcription_regulator,Transcription Regulator
3374,Zfp60,Zfp60,Transcription_regulator,Transcription Regulator
3377,Zfp182,Zfp182,Transcription_regulator,Transcription Regulator
3378,Zfp316,Zfp316,Transcription_regulator,Transcription Regulator
3381,Zfp512b,Zfp512b,Transcription_regulator,Transcription Regulator
3382,Zfp518b,Zfp518b,Transcription_regulator,Transcription Regulator
3383,Zfp541,Zfp541,Transcription_regulator,Transcription Regulator
3384,Zfp579,Zfp579,Transcription_regulator,Transcription Regulator
3385,Zfp653,Zfp653,Transcription_regulator,Transcription Regulator
3386,Zfp664,Zfp664,Transcription_regulator,Transcription Regulator
3387,Zfp691,Zfp691,Transcription_regulator,Transcription Regulator
3388,Zfp697,Zfp697,Transcription_regulator,Transcription Regulator
3389,Zfp711,Zfp711,Transcription_regulator,Transcription Regulator
3390,Zfpm1,Zfpm1,Transcription_regulator,Transcription Regulator
3391,Zfpm2,Zfpm2,Transcription_regulator,Transcription Regulator
3393,Zglp1,Zglp1,Transcription_regulator,Transcription Regulator
3395,Zic5,Zic5,Transcription_regulator,Transcription Regulator
3397,Zmiz1,Zmiz1,Transcription_regulator,Transcription Regulator
3398,Zmiz2,Zmiz2,Transcription_regulator,Transcription Regulator
3399,Zmynd8,Zmynd8,Transcription_regulator,Transcription Regulator
3400,Zmynd11,Zmynd11,Transcription_regulator,Transcription Regulator
3401,Zxdb,Zxdb,Transcription_regulator,Transcription Regulator
3402,Zxdc,Zxdc,Transcription_regulator,Transcription Regulator
