,assays,leiden,topics,keep
parse_hipp_12_Topic6_R49,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic7_R49,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R49,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic9_R49,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic10_R49,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic11_R49,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic12_R49,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic1_R50,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic2_R50,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic3_R50,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R50,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic5_R50,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic6_R50,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic7_R50,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic8_R50,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic9_R50,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic10_R50,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic11_R50,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic12_R50,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic1_R51,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic2_R51,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic3_R51,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R51,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic5_R51,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic6_R51,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R51,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R51,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R51,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic10_R51,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic11_R51,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic12_R51,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic1_R52,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic2_R52,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic3_R52,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R52,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic5_R52,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic6_R52,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic7_R52,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R52,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R52,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic10_R52,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic11_R52,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R52,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R53,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic2_R53,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic3_R53,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic4_R53,parse_hipp_12,14,Topic_15,True
parse_hipp_12_Topic5_R53,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R53,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic7_R53,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R53,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R53,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic10_R53,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic11_R53,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R53,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic1_R54,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic2_R54,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic3_R54,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R54,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic5_R54,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic6_R54,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic7_R54,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic8_R54,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic9_R54,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic10_R54,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic11_R54,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R54,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R55,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic2_R55,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic3_R55,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic4_R55,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R55,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R55,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic7_R55,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic8_R55,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R55,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic10_R55,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic11_R55,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic12_R55,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic1_R56,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R56,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic3_R56,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic4_R56,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic5_R56,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R56,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R56,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R56,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic9_R56,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic10_R56,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic11_R56,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic12_R56,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R57,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R57,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic3_R57,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic4_R57,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic5_R57,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic6_R57,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic7_R57,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic8_R57,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic9_R57,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic10_R57,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R57,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic12_R57,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic1_R58,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic2_R58,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic3_R58,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic4_R58,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic5_R58,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R58,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic7_R58,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic8_R58,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R58,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R58,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic11_R58,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic12_R58,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic1_R59,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic2_R59,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic3_R59,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic4_R59,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R59,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic6_R59,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic7_R59,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R59,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic9_R59,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic10_R59,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic11_R59,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic12_R59,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic1_R60,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R60,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic3_R60,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R60,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic5_R60,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic6_R60,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic7_R60,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic8_R60,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R60,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic10_R60,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic11_R60,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic12_R60,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic1_R61,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic2_R61,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R61,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic4_R61,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic5_R61,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic6_R61,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic7_R61,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic8_R61,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R61,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic10_R61,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic11_R61,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic12_R61,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic1_R62,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic2_R62,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic3_R62,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic4_R62,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic5_R62,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic6_R62,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic7_R62,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic8_R62,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R62,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic10_R62,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R62,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic12_R62,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic1_R63,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R63,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic3_R63,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic4_R63,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic5_R63,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic6_R63,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R63,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic8_R63,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic9_R63,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic10_R63,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R63,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic12_R63,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic1_R64,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic2_R64,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R64,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R64,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic5_R64,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic6_R64,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic7_R64,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic8_R64,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic9_R64,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic10_R64,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic11_R64,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R64,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic1_R65,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic2_R65,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic3_R65,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R65,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R65,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R65,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic7_R65,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic8_R65,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R65,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic10_R65,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic11_R65,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic12_R65,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic1_R66,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic2_R66,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic3_R66,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic4_R66,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic5_R66,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic6_R66,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic7_R66,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic8_R66,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R66,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic10_R66,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic11_R66,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R66,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic1_R67,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic2_R67,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R67,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R67,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic5_R67,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic6_R67,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R67,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R67,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic9_R67,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic10_R67,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic11_R67,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic12_R67,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic1_R68,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic2_R68,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic3_R68,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R68,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic5_R68,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic6_R68,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic7_R68,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic8_R68,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R68,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic10_R68,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic11_R68,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic12_R68,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic1_R69,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic2_R69,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R69,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic4_R69,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic5_R69,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic6_R69,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic7_R69,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic8_R69,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic9_R69,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic10_R69,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic11_R69,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic12_R69,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic1_R70,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R70,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic3_R70,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic4_R70,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic5_R70,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic6_R70,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic7_R70,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic8_R70,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R70,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R70,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic11_R70,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic12_R70,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic1_R71,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic2_R71,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic3_R71,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic4_R71,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic5_R71,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic6_R71,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic7_R71,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic8_R71,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic9_R71,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R71,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic11_R71,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic12_R71,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic1_R72,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic2_R72,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic3_R72,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic4_R72,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R72,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic6_R72,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic7_R72,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic8_R72,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R72,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic10_R72,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic11_R72,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic12_R72,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic1_R73,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R73,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R73,parse_hipp_12,14,Topic_15,True
parse_hipp_12_Topic4_R73,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic5_R73,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic6_R73,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic7_R73,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic8_R73,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic9_R73,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic10_R73,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic11_R73,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic12_R73,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic1_R74,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic2_R74,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R74,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R74,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic5_R74,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic6_R74,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic7_R74,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R74,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic9_R74,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic10_R74,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic11_R74,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic12_R74,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic1_R75,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic2_R75,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R75,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic4_R75,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic5_R75,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic6_R75,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic7_R75,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic8_R75,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R75,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R75,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic11_R75,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic12_R75,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic1_R76,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R76,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic3_R76,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R76,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic5_R76,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic6_R76,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R76,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic8_R76,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic9_R76,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic10_R76,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic11_R76,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic12_R76,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R77,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R77,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic3_R77,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R77,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R77,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic6_R77,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R77,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic8_R77,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic9_R77,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic10_R77,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic11_R77,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic12_R77,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic1_R78,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic2_R78,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic3_R78,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic4_R78,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic5_R78,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R78,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic7_R78,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic8_R78,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic9_R78,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic10_R78,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic11_R78,parse_hipp_12,12,Topic_13,True
parse_hipp_12_Topic12_R78,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic1_R79,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic2_R79,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic3_R79,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic4_R79,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic5_R79,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic6_R79,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic7_R79,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic8_R79,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R79,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic10_R79,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic11_R79,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic12_R79,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic1_R80,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic2_R80,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic3_R80,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic4_R80,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic5_R80,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic6_R80,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R80,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic8_R80,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R80,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic10_R80,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic11_R80,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic12_R80,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic1_R81,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic2_R81,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R81,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic4_R81,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic5_R81,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic6_R81,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic7_R81,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic8_R81,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic9_R81,parse_hipp_12,2,Topic_3,True
