,assays,leiden,topics,keep
parse_hipp_12_Topic8_R24,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic9_R24,parse_hipp_12,13,Topic_14,True
parse_hipp_12_Topic10_R24,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic11_R24,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic12_R24,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic1_R25,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic2_R25,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic3_R25,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic4_R25,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic5_R25,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic6_R25,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R25,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic8_R25,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R25,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic10_R25,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic11_R25,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R25,parse_hipp_12,10,Topic_11,True
parse_hipp_12_Topic1_R26,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic2_R26,parse_hipp_12,8,Topic_9,True
parse_hipp_12_Topic3_R26,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic4_R26,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic5_R26,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic6_R26,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic7_R26,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic8_R26,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic9_R26,parse_hipp_12,14,Topic_15,True
parse_hipp_12_Topic10_R26,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic11_R26,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic12_R26,parse_hipp_12,2,Topic_3,True
parse_hipp_12_Topic1_R27,parse_hipp_12,3,Topic_4,True
parse_hipp_12_Topic2_R27,parse_hipp_12,0,Topic_1,True
parse_hipp_12_Topic3_R27,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic4_R27,parse_hipp_12,11,Topic_12,False
parse_hipp_12_Topic5_R27,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic6_R27,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic7_R27,parse_hipp_12,6,Topic_7,True
parse_hipp_12_Topic8_R27,parse_hipp_12,5,Topic_6,True
parse_hipp_12_Topic9_R27,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic10_R27,parse_hipp_12,9,Topic_10,True
parse_hipp_12_Topic11_R27,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic12_R27,parse_hipp_12,1,Topic_2,True
parse_hipp_12_Topic1_R28,parse_hipp_12,7,Topic_8,True
parse_hipp_12_Topic2_R28,parse_hipp_12,4,Topic_5,True
parse_hipp_12_Topic3_R28,parse_hipp_12,1,Topic_2,True
