orig.ident	nCount_RNA	nFeature_RNA	gender	tissue	mouse	genotype	age	exp	age_gen	percent.mt	RNA_snn_res.1	seurat_clusters	State	cellType
3xC013	818	369	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.58924205378973	1	1	4	microglia
3xC013	686	323	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.291545189504373	7	7	8	microglia
3xC013	3014	1169	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.232249502322495	2	2	2	microglia
3xC013	671	330	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.29806259314456	7	7	8	microglia
3xC013	1167	512	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.22793487574979	6	6	5	microglia
3xC013	865	404	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.15606936416185	1	1	4	microglia
3xC013	1012	485	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.87747035573123	7	7	8	microglia
3xC013	836	364	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.717703349282297	18	18	0	astrocyte
3xC013	1492	607	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.603217158176944	3	3	9	microglia
3xC013	747	361	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	3	3	3	microglia
3xC013	2330	996	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.429184549356223	2	2	2	microglia
3xC013	3369	1328	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.2077767883645	2	2	2	microglia
3xC013	1967	870	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.610066090493137	9	9	2	microglia
3xC013	1351	601	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.962250185048113	3	3	9	microglia
3xC013	743	327	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.672947510094213	1	1	7	microglia
3xC013	939	446	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.53248136315229	3	3	9	microglia
3xC013	3409	1173	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.293341155764154	2	2	1	microglia
3xC013	1214	480	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.164744645799012	8	8	6	microglia
3xC013	649	304	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.77349768875193	7	7	8	microglia
3xC013	3288	1205	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.425790754257908	2	2	1	microglia
3xC013	1176	540	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.425170068027211	3	3	9	microglia
3xC013	766	336	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.088772845953	1	1	8	microglia
3xC013	3687	1377	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.35964198535395	2	2	2	microglia
3xC013	1031	444	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	2.3278370514064	3	3	9	microglia
3xC013	689	306	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.145137880986938	7	7	8	microglia
3xC013	1514	621	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.330250990752972	14	14	6	S100a8/9
3xC013	2051	751	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.536323744514871	10	10	6	activated microglia
3xC013	987	334	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.101317122593718	12	12	4	microglia
3xC013	632	311	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.791139240506329	1	1	8	microglia
3xC013	611	311	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.818330605564648	7	7	8	microglia
3xC013	701	323	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.85449358059914	8	8	8	microglia
3xC013	627	314	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.797448165869218	7	7	8	microglia
3xC013	617	306	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.45867098865478	7	7	8	microglia
3xC013	1457	706	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.85312285518188	3	3	9	microglia
3xC013	630	320	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.9047619047619	18	18	0	astrocyte
3xC013	1291	600	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.387296669248644	5	5	2	microglia
3xC013	2743	1063	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.4374772147284	18	18	0	astrocyte
3xC013	593	302	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.68634064080944	7	7	8	microglia
3xC013	3647	1414	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	1.04195228955306	2	2	2	microglia
3xC013	789	338	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0	1	1	8	microglia
3xC013	529	303	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.945179584120983	7	7	8	microglia
3xC013	697	345	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	4.30416068866571	1	1	8	microglia
3xC013	617	327	Male	Cortex	3X013	3xTg	12 month	SC	3xTg_12mo	0.648298217179903	18	18	0	astrocyte
